exp,dev_stage,tissue,area,x,y,perimeter
CGRP-594 HuC-488 20x 2,32,DRG,424.34,23.81,28.25,114.8
CGRP-594 HuC-488 20x 2,32,DRG,243.18,20,18.1,79.01
CGRP-594 HuC-488 20x 2,32,DRG,234.84,19.05,16.83,61.16
CGRP-594 HuC-488 20x 2,32,DRG,167.07,15.56,14.29,58.24
CGRP-594 HuC-488 20x 2,32,DRG,137.89,14.92,12.06,51.51
CGRP-594 HuC-488 20x 2,32,DRG,172.11,15.56,13.97,52.34
CGRP-594 HuC-488 20x 2,32,DRG,156.32,16.83,12.06,55.85
CGRP-594 HuC-488 20x 2,32,DRG,257.03,16.83,20.32,72.16
CGRP-594 HuC-488 20x 2,32,DRG,167.31,16.51,14.29,52.78
CGRP-594 HuC-488 20x 2,32,DRG,237.68,15.87,20.63,65.21
CGRP-594 HuC-488 20x 2,32,DRG,165.54,15.87,14.6,54.94
CGRP-594 HuC-488 20x 2,32,DRG,226.34,21.59,15.24,71.65
CGRP-594 HuC-488 20x 2,32,DRG,319.54,19.37,22.22,72.46
CGRP-594 HuC-488 20x 2,32,DRG,116.23,11.11,13.02,50.43
CGRP-594 HuC-488 20x 2,32,DRG,406.71,27.94,20.32,86.99
CGRP-594 HuC-488 20x 2,32,DRG,272.43,20.63,16.51,69.48
CGRP-594 HuC-488 20x 2,32,DRG,297.36,23.17,17.46,76.79
CGRP-594 HuC-488 20x 4,32,DRG,335.09,23.49,20.63,67.3
CGRP-594 HuC-488 20x 4,32,DRG,177.22,16.83,13.97,48.22
CGRP-594 HuC-488 20x 4,32,DRG,176.39,15.56,14.6,48.58
CGRP-594 HuC-488 20x 4,32,DRG,176.9,17.46,13.33,48.41
CGRP-594 HuC-488 20x 4,32,DRG,201.87,18.41,13.65,52.7
CGRP-594 HuC-488 20x 4,32,DRG,235.57,19.68,16.51,56.41
CGRP-594 HuC-488 20x 4,32,DRG,191.6,15.56,15.87,50.05
CGRP-594 HuC-488 20x 4,32,DRG,311.08,20,22.54,66.62
CGRP-594 HuC-488 20x 4,32,DRG,187.76,15.56,15.24,49.49
CGRP-594 HuC-488 20x 4,32,DRG,190.71,18.73,13.65,52.49
CGRP-594 HuC-488 20x 4,32,DRG,213.71,22.22,14.29,55.99
CGRP-594 HuC-488 20x 4,32,DRG,209.2,18.1,15.24,52.21
CGRP-594 HuC-488 20x 4,32,DRG,254.82,21.27,18.41,64.21
CGRP-594 HuC-488 20x 4,32,DRG,622.9,29.52,27.62,93.05
CGRP-594 HuC-488 20x 4,32,DRG,222.13,18.1,15.87,54.09
CGRP-594 HuC-488 20x 4,32,DRG,451.54,21.59,25.08,76.32
CGRP-594 HuC-488 20x 4,32,DRG,175.11,14.92,16.51,49.04
CGRP-594 HuC-488 20x 4,32,DRG,188.82,17.14,15.87,50.64
CGRP-594 HuC-488 20x 4,32,DRG,139.62,11.43,17.78,46.48
CGRP-594 HuC-488 20x 4,32,DRG,159.81,16.83,12.7,46.39
CGRP-594 HuC-488 20x 4,32,DRG,198.13,19.05,13.65,52.38
CGRP-594 HuC-488 20x 4,32,DRG,98.41,15.87,9.52,39.75
CGRP-594 HuC-488 20x 4,32,DRG,154.43,13.97,15.24,46.82
CGRP-594 HuC-488 20x 4,32,DRG,282.77,22.54,16.51,63.43
CGRP-594 HuC-488 20x 4,32,DRG,214.11,17.14,17.14,54.01
CGRP-594 HuC-488 20x 4,32,DRG,187.77,17.14,14.92,49.72
CGRP-594 HuC-488 20x 4,32,DRG,221.47,18.41,15.24,56.16
CGRP-594 HuC-488 20x 4,32,DRG,171.42,15.87,15.24,48.59
CGRP-594 HuC-488 20x 4,32,DRG,195.22,19.68,14.92,52.88
CGRP-594 HuC-488 20x 4,32,DRG,186.06,17.14,14.6,51.53
CGRP-594 HuC-488 20x 4,32,DRG,145.32,16.51,11.75,44.3
CGRP-594 HuC-488 20x 4,32,DRG,183.97,20.63,13.65,52.82
CGRP-594 HuC-488 20x 4,32,DRG,283.12,26.35,13.97,67.87
CGRP-594 HuC-488 20x 4,32,DRG,245.01,21.27,14.29,58.19
CGRP-594 HuC-488 20x 4,32,DRG,178.74,21.9,12.7,55.67
CGRP-594 HuC-488 20x 4,32,DRG,156.44,23.17,11.11,58.4
CGRP-594 HuC-488 20x 4,32,DRG,160.84,22.22,13.02,55.13
CGRP-594 HuC-488 20x 4,32,DRG,189.05,21.59,13.65,57.56
CGRP-594 HuC-488 20x 4,32,DRG,305.31,22.86,21.9,68.65
CGRP-594 HuC-488 20x 4,32,DRG,682.27,41.27,30.48,117.54
CGRP-594 HuC-488 20x 4,32,DRG,601.45,36.51,25.4,97.49
CGRP-594 HuC-488 20x 4,32,DRG,172.33,16.83,14.92,49.36
CGRP-594 HuC-488 20x 4,32,DRG,199.02,24.44,12.38,59.27
CGRP-594 HuC-488 20x 4,32,DRG,235.99,20,16.19,58.12
CGRP-594 HuC-488 20x 4,32,DRG,610.36,33.65,25.4,100.77
CGRP-594 HuC-488 20x 4,32,DRG,201.3,15.56,15.87,51.36
CGRP-594 HuC-488 20x 4,32,DRG,216.77,13.97,19.68,55.38
CGRP-594 HuC-488 20x 4,32,DRG,148.14,18.1,13.02,48.73
CGRP-594 HuC-488 20x 4,32,DRG,167.98,15.24,14.6,48.62
CGRP-594 HuC-488 20x 4,32,DRG,166.11,18.73,13.02,52.35
CGRP-594 HuC-488 20x 4,32,DRG,166.39,18.41,13.65,50.86
CGRP-594 HuC-488 20x 4,32,DRG,219.71,19.68,15.24,54.03
CGRP-594 HuC-488 20x 4,32,DRG,202.7,18.41,15.87,55.15
CGRP-594 HuC-488 20x 4,32,DRG,368.13,24.76,21.59,72.95
CGRP-594 HuC-488 20x 4,32,DRG,384.37,26.98,19.37,74.12
NF-594 HuC-488 20x 3,32,DRG,228.43,21.59,15.56,64.96
NF-594 HuC-488 20x 3,32,DRG,214.61,17.46,15.87,61.77
NF-594 HuC-488 20x 3,32,DRG,183.28,14.29,16.51,57.22
NF-594 HuC-488 20x 3,32,DRG,213.19,17.14,15.24,64.88
NF-594 HuC-488 20x 3,32,DRG,130.78,17.78,10.48,49.71
NF-594 HuC-488 20x 3,32,DRG,365.58,22.54,20.95,85.23
NF-594 HuC-488 20x 3,32,DRG,147.18,18.73,9.84,56.44
NF-594 HuC-488 20x 3,32,DRG,199.36,16.19,16.51,68.2
NF-594 HuC-488 20x 3,32,DRG,459.68,25.4,26.35,87.36
NF-594 HuC-488 20x 3,32,DRG,179.74,13.97,16.51,62.61
NF-594 HuC-488 20x 3,32,DRG,235.44,20,15.24,70.93
NF-594 HuC-488 20x 3,32,DRG,160.89,15.56,14.6,53.02
NF-594 HuC-488 20x 3,32,DRG,192.78,16.19,16.51,57.96
NF-594 HuC-488 20x 3,32,DRG,329.97,25.4,17.78,80.54
NF-594 HuC-488 20x 3,32,DRG,569.05,30.79,25.08,97.66
NF-594 HuC-488 20x 3,32,DRG,461.26,30.79,19.37,92.92
NF-594 HuC-488 20x 3,32,DRG,316.75,19.05,21.59,71.2
NF-594 HuC-488 20x 3,32,DRG,255.97,19.68,17.46,64.53
NF-594 HuC-488 20x 3,32,DRG,396.89,27.94,23.17,86.67
NF-594 HuC-488 20x 3,32,DRG,429.96,22.54,26.35,82.97
NF-594 HuC-488 20x 3,32,DRG,182.5,19.05,13.97,62.35
NF-594 HuC-488 20x 3,32,DRG,345.93,33.65,18.41,88.41
NF-594 HuC-488 20x 3,32,DRG,255.46,28.25,16.19,75.94
NF-594 HuC-488 20x 4,32,DRG,269.13,20,18.73,67.51
NF-594 HuC-488 20x 4,32,DRG,296.65,25.71,18.73,76.77
NF-594 HuC-488 20x 4,32,DRG,202.92,16.51,18.41,56.11
NF-594 HuC-488 20x 4,32,DRG,203.02,16.51,15.56,56.17
