exp,species,dev_stage,tissue,area,x,y,perimeter
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,198.13,19.05,13.65,52.38
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,98.41,15.87,9.52,39.75
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,154.43,13.97,15.24,46.82
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,282.77,22.54,16.51,63.43
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,214.11,17.14,17.14,54.01
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,187.77,17.14,14.92,49.72
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,221.47,18.41,15.24,56.16
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,171.42,15.87,15.24,48.59
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,195.22,19.68,14.92,52.88
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,186.06,17.14,14.6,51.53
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,145.32,16.51,11.75,44.3
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,183.97,20.63,13.65,52.82
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,283.12,26.35,13.97,67.87
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,245.01,21.27,14.29,58.19
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,178.74,21.9,12.7,55.67
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,156.44,23.17,11.11,58.4
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,160.84,22.22,13.02,55.13
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.05,21.59,13.65,57.56
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,305.31,22.86,21.9,68.65
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,682.27,41.27,30.48,117.54
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,601.45,36.51,25.4,97.49
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,172.33,16.83,14.92,49.36
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,199.02,24.44,12.38,59.27
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,235.99,20,16.19,58.12
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,610.36,33.65,25.4,100.77
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.3,15.56,15.87,51.36
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,216.77,13.97,19.68,55.38
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,148.14,18.1,13.02,48.73
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,167.98,15.24,14.6,48.62
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,166.11,18.73,13.02,52.35
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,166.39,18.41,13.65,50.86
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,219.71,19.68,15.24,54.03
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,202.7,18.41,15.87,55.15
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,368.13,24.76,21.59,72.95
CGRP-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,384.37,26.98,19.37,74.12
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,228.43,21.59,15.56,64.96
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,214.61,17.46,15.87,61.77
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,183.28,14.29,16.51,57.22
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,213.19,17.14,15.24,64.88
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,130.78,17.78,10.48,49.71
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,365.58,22.54,20.95,85.23
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,147.18,18.73,9.84,56.44
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,199.36,16.19,16.51,68.2
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,459.68,25.4,26.35,87.36
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,179.74,13.97,16.51,62.61
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,235.44,20,15.24,70.93
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,160.89,15.56,14.6,53.02
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,192.78,16.19,16.51,57.96
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,329.97,25.4,17.78,80.54
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,569.05,30.79,25.08,97.66
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,461.26,30.79,19.37,92.92
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,316.75,19.05,21.59,71.2
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,255.97,19.68,17.46,64.53
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,396.89,27.94,23.17,86.67
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,429.96,22.54,26.35,82.97
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,182.5,19.05,13.97,62.35
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,345.93,33.65,18.41,88.41
NF-594 HuC-488 20x 3 DataTable,Bamboo shark,32,DRG,255.46,28.25,16.19,75.94
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,269.13,20,18.73,67.51
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,296.65,25.71,18.73,76.77
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,202.92,16.51,18.41,56.11
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,203.02,16.51,15.56,56.17
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,74.17,11.11,8.89,35.58
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.71,15.56,15.87,53.44
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,137.41,11.43,16.51,46.34
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,212.24,18.73,15.56,56.21
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,240.11,18.1,17.46,61
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,125.37,14.92,9.84,43.45
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,101.64,12.7,11.43,37.93
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,186.24,14.6,16.19,51.69
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,286.77,27.62,17.46,72.22
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,134.49,16.83,13.97,49.31
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,143.46,14.92,13.02,46.24
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,161.95,14.92,14.92,48.43
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,131.27,13.65,13.65,44.16
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,198.13,19.68,14.6,56.15
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,181.41,21.27,15.87,58.52
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,208.87,22.86,15.24,57.93
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,91.86,11.75,10.16,40.49
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,178.84,17.78,14.29,52.75
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,190.88,17.14,14.92,67.92
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,223.55,19.68,15.87,61.98
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,187.24,15.87,14.92,61.69
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.68,17.14,14.6,65.19
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,183.94,21.27,15.24,57.6
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,219.53,22.54,14.92,74.52
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,167.64,19.05,14.6,57.73
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,197.83,17.46,16.19,58.93
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,195.31,20,14.92,64.76
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,304.73,29.52,16.19,82.57
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.35,17.14,16.51,63.46
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,153.17,16.51,13.02,62.69
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,347.47,26.35,19.05,77.1
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,186.52,20,13.33,63.46
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,171.26,17.14,14.92,60.67
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.08,17.46,14.6,61.07
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,218.77,21.27,15.56,70.81
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,175.22,16.83,13.97,52.88
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,152.52,15.87,13.97,57.68
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,166.77,13.97,18.41,58.11
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,245.14,22.86,14.6,68.56
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,212.55,16.83,17.46,70.72
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,120.23,13.33,12.38,52.53
NF-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,169.35,16.83,13.97,61.46
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,586.83,29.21,29.52,102.84
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,376.25,23.81,25.4,87.43
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,153.34,14.6,13.33,51.15
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,174.05,16.19,14.92,54.43
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,154.9,18.73,13.33,53.68
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,246.9,20.63,16.19,67.56
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,130.59,17.14,10.48,51.63
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,211.16,18.1,16.51,56.29
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,153.77,13.65,17.14,51.55
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,306.73,22.86,18.41,70.62
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,213.41,17.78,17.46,60.37
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,177.92,15.24,15.56,54.81
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,164.22,17.46,13.33,59.35
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,201.65,20,13.97,57.41
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,201.51,16.51,17.14,59.85
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,143.57,13.65,14.92,51.12
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,235.47,18.73,18.1,64.21
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,94.98,11.75,12.06,41.37
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,111.48,13.02,11.75,44.31
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,133.03,13.33,13.02,44.8
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,183.67,17.78,15.24,56.52
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,152.53,15.87,14.29,52.96
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,206.23,18.73,14.6,57.02
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,198.5,19.68,14.6,59.12
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,170.41,16.19,17.46,58.2
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,178,16.83,14.29,55.35
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,165.89,14.29,15.87,50.27
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,294.42,19.68,20,67.96
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,283.65,22.86,17.78,69.12
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,255.04,17.46,19.37,63.98
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,134.62,13.33,14.29,48.61
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,211.88,20.63,15.56,58.79
P2X3-594 HuC-488 20x 5 DataTable,Bamboo shark,32,DRG,210.24,17.46,16.83,56.03
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,217.99,17.46,16.19,53.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,573.94,28.57,28.25,90.45
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,221.05,14.92,19.68,55.3
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,189.98,17.14,14.92,50.93
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,144.62,15.87,12.38,45.7
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,149.26,13.97,14.92,47.17
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.27,19.37,15.24,53.49
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,198.5,16.51,16.51,51.34
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,315.47,22.54,18.41,64.5
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,244.61,17.46,20.95,59.18
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,179,16.83,14.6,50.65
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,164.05,16.83,12.38,47.27
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.33,16.51,14.6,49.56
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,282.45,17.14,23.49,62.66
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,211.39,18.73,16.51,53.66
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,300.95,22.86,17.78,64.88
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,142.51,16.19,15.24,47.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,183.91,16.83,14.6,49.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,188.68,14.92,17.46,50.83
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,165.24,21.59,11.43,52.1
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,390.97,26.98,21.9,80.63
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,196.66,16.83,16.51,52.78
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,165.3,13.97,16.83,48.23
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,132.12,12.7,14.92,42.54
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,234.59,17.78,20,58.19
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,131.22,13.97,14.6,46.2
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,192.11,18.41,14.92,53.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,235.06,16.19,21.27,61.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,119.61,13.02,16.51,45.77
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,230.45,16.83,22.54,59.63
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,222.05,18.41,20.95,61.46
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,184.2,19.05,17.78,61.12
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,237.4,16.19,19.68,56.41
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,143.88,12.7,13.97,45.54
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,199,20.63,13.65,53.81
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,173.11,14.92,15.87,49.89
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,306.24,19.05,26.67,71.57
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,152.7,14.92,15.24,46.67
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,224.51,21.59,14.92,57.26
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,148.24,17.46,12.7,45.88
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,147.48,16.83,12.7,46.46
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,290.13,25.4,19.05,70.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,168.1,19.05,13.97,50.43
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,180.61,20,17.78,57.86
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,184.38,15.87,14.6,49.8
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,151.75,20.32,12.7,53.07
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,201.56,20,17.46,57.87
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,164.05,14.29,15.87,47.3
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,136.96,16.83,12.38,46.02
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,247.22,19.05,18.41,58.86
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,248.66,20.32,16.19,57.15
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,173.77,16.19,13.33,47.83
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,142.91,15.24,13.02,43.75
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,211.89,17.78,17.78,54.18
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,120.71,16.19,13.65,45.17
Tac1-594 HuC-488 20x 4 DataTable,Bamboo shark,32,DRG,210.05,20,16.19,55.65
4 tg 26 2 20x 1,Bamboo shark,32,TG,64.18295812,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,130.5898024,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,92.78834956,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,85.6858942,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,72.99428899,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,66.18004683,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,99.57443364,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,77.9127112,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,117.8373948,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,100.830274,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,81.41253873,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,119.2408677,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,79.37896898,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,71.62377973,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,101.2487153,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,44.41353974,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,86.19509816,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,104.8783045,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,124.0512285,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,66.84283058,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,90.62464732,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,105.1117331,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,55.99074663,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,79.28155924,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,91.82930192,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,72.90790776,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,81.94990543,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,59.02760783,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,41.68516694,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,82.30880011,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,85.57166336,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,29.37937792,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,74.54242637,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,46.07229606,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,65.38506894,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,83.87555301,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,77.86882609,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,76.5677469,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,41.10430956,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,41.93907336,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,67.74851723,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,58.68060886,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,63.17397361,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,72.6489084,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,106.5370401,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,44.20371617,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,53.80138446,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,47.09499311,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,35.1010488,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,77.05893993,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,50.36189404,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,118.4426758,,,
4 tg 26 2 20x 1,Bamboo shark,32,TG,29.86865729,,,
